case_id,workload,concurrency,flow_requests_per_second,avg_ms,http_request_avg_ms,p95_ms,p99_ms,successful_writes_per_second,failed_flows,write_verification_failures
rep1_mysql84-hpos-fast_catalog-read_c4,catalog-read,4,46.14840887950286,86.62554290628863,86.58489119362198,125.48145800246857,166.03643320559047,0.0,0,0
rep1_mysql84-hpos-fast_catalog-read_c16,catalog-read,16,44.78858392270777,356.6170527061813,356.57661641687014,674.209512199741,785.7983077672543,0.0,0,0
rep1_mysql84-hpos-fast_catalog-read_c32,catalog-read,32,43.70704283557904,729.0203114853138,728.9764504072199,1364.7519186546558,1566.1957426420124,0.0,0,0
rep1_mysql84-hpos-fast_storefront-mixed_c4,storefront-mixed,4,24.401956209997724,163.72035194825995,72.03420262122674,300.22889825195307,382.861016014067,6.189223438717605,0,0
rep1_mysql84-hpos-fast_storefront-mixed_c16,storefront-mixed,16,23.654715537350828,674.6299013171638,310.3491602680335,1278.096008145076,1588.7709472546699,5.450293598624677,0,0
rep1_mysql84-hpos-fast_storefront-mixed_c32,storefront-mixed,32,22.614549055405256,1401.4497830948512,621.403465085079,2766.90049950048,3237.520421051886,5.9592392781135475,0,0
rep1_mysql84-hpos-fast_admin-orders_c4,admin-orders,4,0.8281885490629517,190.97157407452835,102.8709435858117,427.83791710608057,600.6159755194674,0.2300523747397088,8,0
rep1_mysql84-hpos-fast_admin-orders_c16,admin-orders,16,1.8231994603065018,398.6968518607891,215.53396577220545,1644.5365128514827,1994.479598112085,0.5081047676264022,32,0
rep1_mysql84-hpos-fast_admin-orders_c32,admin-orders,32,3.3954152240618636,981.1263919205718,604.0566463985352,3064.229146002617,3531.35170799942,0.7034326360606251,58,0
rep1_mysql84-hpos-fast_checkout-heavy_c4,checkout-heavy,4,2.367058850512766,629.9643281434,176.33636103171483,482.6780419971328,10978.212658796258,1.7495652373355226,4,0
rep1_mysql84-hpos-fast_checkout-heavy_c16,checkout-heavy,16,6.173824520289277,752.0975913357371,206.97699030205234,1532.212949696987,1916.8391762851388,4.438697367528238,18,0
rep1_mysql84-hpos-fast_checkout-heavy_c32,checkout-heavy,32,9.128540591172118,2190.2478427901756,618.6973675834807,3643.045023152081,4108.200139774274,6.267835969290714,9,0
