audience,route,requests,avg_wall_ms,p50_wall_ms,p95_wall_ms,p99_wall_ms,max_wall_ms,avg_db_ms,p95_db_ms,avg_queries,max_queries
admin,Admin: HPOS order search,10,44973.122811317444,41642.41099357605,61977.917194366455,61977.917194366455,61977.917194366455,32610.709619522095,53467.674255371094,119.4,128.0
admin,Admin: edit order,132,480.1373283068339,382.1730613708496,1282.275915145874,1721.039056777954,1896.3699340820312,325.15843348069626,933.6657524108887,142.96212121212122,143.0
admin,Admin: orders list,121,448.77065114738525,340.5129909515381,1149.5721340179443,1516.4837837219238,1694.0219402313232,291.6608664615095,945.5423355102539,126.0,126.0
admin,"Admin: orders list, filtered",108,438.86231493066856,367.6900863647461,1030.1711559295654,1387.6659870147705,2150.568962097168,278.47167297645854,676.0125160217285,146.0,146.0
customer,Customer: checkout AJAX order submit,1739,736.9947735093804,624.6769428253174,1644.3150043487549,1921.8418598175049,2266.227960586548,237.2265995885532,805.788516998291,261.6946520989074,287.0
customer,Customer: shop archive,1464,490.3872343686109,450.43396949768066,1249.6209144592285,1550.178050994873,2269.9270248413086,70.23293219628881,388.674259185791,76.0,76.0
customer,Customer: product search,3466,508.5978052620247,458.4989547729492,1243.0589199066162,1536.370038986206,2332.944869995117,71.40021804296688,394.5770263671875,75.0,75.0
customer,Customer: add to cart,2753,230.43103673611387,64.6359920501709,821.2800025939941,1153.1071662902832,1557.8868389129639,87.16112347113364,524.7106552124023,69.0,69.0
customer,Customer: home/product page,3879,232.57515718716266,71.929931640625,817.9771900177002,1214.8849964141846,1861.4089488983154,77.92570782125718,476.8025875091553,76.43722608919825,86.0
customer,Customer: cart page,1014,184.3256099219388,52.60586738586426,711.2748622894287,1025.1641273498535,1564.272165298462,73.94573204145864,461.85898780822754,70.0,70.0
customer,Customer: checkout page,3478,169.7026090144837,54.80504035949707,682.2290420532227,945.0709819793701,1323.7440586090088,73.85572988182186,482.2671413421631,75.5,79.0
customer,Customer: shop page,1464,61.49927644781727,23.029088973999023,305.4180145263672,563.6379718780518,815.2351379394531,22.305020869103938,127.98619270324707,42.0,42.0
