component,current_open,created_in_window
General,738,1829
Media,610,624
Editor,551,1693
Administration,453,551
Users,289,204
Upgrade/Install,279,299
Query,274,147
Plugins,270,326
"Posts, Post Types",269,258
Taxonomy,246,159
Themes,230,377
Formatting,227,168
