component,current_open,created_in_window
General,56,323
Plugins,32,129
Administration,31,159
Media,29,147
Themes,26,120
Editor,26,144
Users,24,80
Taxonomy,20,70
Query,17,37
Upgrade/Install,16,61
Networks and Sites,15,22
"Posts, Post Types",14,67
